"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"215126_at",-0.0593310696189464,6.06380692938215,-0.308110353679987,0.760053380585742,0.940220894478868,-6.52902917741971
"206547_s_at",0.0226964328907524,4.51105629851453,0.308066940418713,0.760086101749335,0.940220894478868,-6.52904267860066
"202110_at",-0.0233371673991076,13.621091340476,-0.307933700067094,0.760186529620455,0.940223197469555,-6.52908410349042
"90610_at",0.021579583247668,7.68277130326308,0.307845258106938,0.760253193732698,0.940223197469555,-6.52911159057003
"203332_s_at",-0.0248103056912283,6.36206964086548,-0.307844411631404,0.760253831782081,0.940223197469555,-6.52911185361019
"221665_s_at",0.0298853002140724,4.61721343522338,0.307840490344779,0.760256787539574,0.940223197469555,-6.52911307213086
"210146_x_at",0.0864008970293311,6.76271054508584,0.307779584835462,0.760302696900735,0.940227777220921,-6.52913199623998
"207833_s_at",-0.036791699267634,5.6097905213722,-0.307590987292273,0.760444863592728,0.940272027693306,-6.52919057227013
"213782_s_at",-0.0144640196178152,3.87461238975336,-0.307537060583414,0.760485515639334,0.940272027693306,-6.52920731466904
"205335_s_at",0.0522132234411075,11.4432451244819,0.307499122656023,0.760514115137503,0.940272027693306,-6.52921909134995
"217150_s_at",0.033889444305661,6.56169697140865,0.307470941368398,0.760535359817184,0.940272027693306,-6.5292278384428
"215136_s_at",-0.0501365079896843,9.01967583814841,-0.307452157285386,0.760549520447353,0.940272027693306,-6.52923366832715
"201121_s_at",-0.0351528092577595,13.2156722238507,-0.307270523683139,0.760686451688424,0.940312410284595,-6.52929002241718
"211838_x_at",0.0186980439552382,5.59087413751061,0.307264026319738,0.760691350113002,0.940312410284595,-6.52929203769206
"213887_s_at",-0.10723496994853,7.90800553680644,-0.30723080110097,0.760716399081365,0.940312410284595,-6.52930234243311
"201259_s_at",-0.0517202442905109,9.31616340636624,-0.307184874283684,0.76075102440002,0.940312410284595,-6.52931658472834
"205393_s_at",0.0479806042499362,4.42352318785554,0.306928841985134,0.760944062443172,0.940495929537892,-6.52939594373366
"202678_at",-0.0310384198357614,10.5193815276226,-0.306875959775194,0.760983935445549,0.940495929537892,-6.52941232675084
"206362_x_at",-0.0270068329414883,7.62073563964801,-0.306814122688542,0.761030561238371,0.940499713954497,-6.52943148044878
"222007_s_at",0.0193360776672806,5.69321655744693,0.306759916016211,0.761071434369875,0.940499713954497,-6.52944826751244
"209754_s_at",-0.0473998530175628,4.03373611757554,-0.306491342518098,0.761273955546381,0.940674423551844,-6.52953139755886
"208586_s_at",0.0155184133209203,4.00065554784538,0.306435608708529,0.761315984466478,0.940674423551844,-6.52954863946506
"217218_at",-0.0225440363374201,4.2093993842694,-0.306404436605648,0.761339491701744,0.940674423551844,-6.52955828156092
"210414_at",0.0271018474472484,4.78622573783052,0.306261174800597,0.761447530019575,0.940745054522977,-6.52960258249566
"216162_at",-0.0210377429592175,3.90252380225119,-0.306216640056769,0.76148111609096,0.940745054522977,-6.52961634980606
"208120_x_at",0.0476164788012277,8.151483405827,0.306146997692879,0.761533638128386,0.940757769455224,-6.52963787480693
"201266_at",0.064093069121185,10.436965837483,0.305982246915444,0.761657892468391,0.940859092298899,-6.52968877646143
"219268_at",-0.120298194432447,8.98259635162582,-0.30578839073819,0.761804106232433,0.940987528391456,-6.52974863569175
"218202_x_at",-0.0398572408072644,7.81696257576296,-0.305610279340766,0.761938452542174,0.940993185722748,-6.5298035999878
"201028_s_at",-0.0920924367402876,8.35959704084764,-0.305560329284757,0.761976130346555,0.940993185722748,-6.52981900861327
"212696_s_at",0.0602274200229544,8.74666360314718,0.305525997364083,0.762002027585433,0.940993185722748,-6.5298295978947
"217720_at",0.0237155087139982,12.952958951179,0.305507794051701,0.762015758813202,0.940993185722748,-6.52983521201485
"215038_s_at",0.0288305028148201,6.75706466045374,0.305500215762049,0.762021475335605,0.940993185722748,-6.52983754915237
"58367_s_at",-0.0257214171334823,7.37582674424529,-0.305373156699112,0.762117321678708,0.940993185722748,-6.52987672546807
"221870_at",0.0272644799678972,6.92036271726649,0.305346676767168,0.762137297159564,0.940993185722748,-6.52988488802647
"221089_at",-0.0167822555611274,3.92249319938814,-0.30532092895018,0.762156720519367,0.940993185722748,-6.52989282423254
"205534_at",0.0218974476634468,4.30766745558756,0.305231377789587,0.762224276379277,0.940993185722748,-6.52992042125546
"201090_x_at",-0.0442309057670585,11.6913634563817,-0.305222343239137,0.762231091994747,0.940993185722748,-6.52992320499026
"211332_x_at",-0.0230601493927178,6.64934991039555,-0.304960323975508,0.762428766307165,0.94111074380653,-6.53000390300093
"217880_at",0.0315085869120271,8.31181343031917,0.304898884018449,0.762475120600659,0.94111074380653,-6.53002281561801
"207776_s_at",0.038377234528749,6.00918685670525,0.30488683081744,0.762484214423086,0.94111074380653,-6.5300265254232
"214632_at",-0.0204563224221115,4.63431881006666,-0.304872136748837,0.762495300757017,0.94111074380653,-6.53003104785299
"205718_at",-0.0284825311620693,6.38392670643499,-0.304615609734851,0.762688852671571,0.941192407852594,-6.53010996490112
"209676_at",-0.0433757951543736,9.07176713456072,-0.304558533606781,0.762731919235333,0.941192407852594,-6.53012751461615
"AFFX-ThrX-5_at",0.0177728151068548,4.08909767647481,0.304519077482005,0.762761691146584,0.941192407852594,-6.53013964463806
"212020_s_at",-0.0209348031360381,4.88950462896085,-0.304517400271032,0.762762956706706,0.941192407852594,-6.53014016022951
"218580_x_at",-0.0211716731346172,10.0716442033049,-0.304504470331333,0.762772713173709,0.941192407852594,-6.53014413492763
"210659_at",-0.0317814531504217,5.84023640323464,-0.304428263572818,0.762830216853191,0.941211229068874,-6.53016755768163
"216593_s_at",-0.0676925757346734,7.39984258618347,-0.304221047418656,0.762986583827664,0.941352023035494,-6.53023121775218
"208609_s_at",-0.0331356109619527,6.45297925957141,-0.304134358994111,0.763052002619225,0.941380598236057,-6.53025783702107
"207740_s_at",-0.0467945641591649,5.6402237629067,-0.303942181639168,0.763197034196298,0.941447775391595,-6.53031682171159
"220087_at",-0.0255903305781695,4.46449706938273,-0.303793377038525,0.763309339399393,0.941447775391595,-6.53036246861509
"215949_x_at",0.0407908154377541,6.93793670034491,0.3037565234497,0.76333715419741,0.941447775391595,-6.53037377029119
"217058_at",0.0516962589322301,7.19003425056209,0.303723240642475,0.763362274266809,0.941447775391595,-6.53038397576527
