"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"210986_s_at",-0.266820365441115,10.692212053456,-1.95690953715556,0.0571655185224397,0.288373412457601,-4.69239987302442
"206936_x_at",-0.144299286403196,8.53735233165101,-1.95681018777956,0.0571775985467174,0.288373412457601,-4.69257788237539
"203283_s_at",-0.18644881781101,8.06138756378231,-1.95658012292265,0.0572055808924037,0.288449236201919,-4.6929900726753
"208900_s_at",0.311600129514016,9.44190117634077,1.95555049293363,0.0573309575165181,0.288969582410691,-4.69483429461969
"204767_s_at",-0.275866647586815,8.33308934373155,-1.95551962549019,0.0573347198570388,0.288969582410691,-4.69488957046684
"219271_at",-0.17814853479118,6.15963721197288,-1.95538497474789,0.0573511345235088,0.288986931413754,-4.69513068773534
"221843_s_at",-0.19423867096718,5.04952039780258,-1.95510401373652,0.057385398263166,0.28909419201912,-4.69563375666176
"33132_at",-0.192273995354443,7.48010867302786,-1.9548117911413,0.0574210540946818,0.289208415570252,-4.69615692642489
"209961_s_at",0.160370616559857,6.00694857820002,1.95419615449747,0.0574962341141659,0.289467565607533,-4.69725889695608
"207895_at",0.126882339702746,5.32397365686351,1.95417764950368,0.0574984952109051,0.289467565607533,-4.6972920158822
"218363_at",-0.132273104678747,6.91729749101008,-1.95390386371086,0.0575319576324596,0.289489512475074,-4.69778198800632
"220341_s_at",-0.130161003140604,6.68279526456073,-1.95375195436383,0.0575505314106034,0.289489512475074,-4.69805382331672
"203248_at",0.267857131139903,6.89116075659971,1.95362438552528,0.0575661330954047,0.289489512475074,-4.6982820888317
"218705_s_at",-0.168531023300975,7.13800203523029,-1.95361572203483,0.0575671927735372,0.289489512475074,-4.69829759041622
"202537_s_at",0.164739392263874,9.46111385434442,1.9536105155736,0.0575678296119127,0.289489512475074,-4.69830690631061
"201145_at",-0.170686721083261,11.0712222467167,-1.95330390728942,0.0576053437061668,0.289612783060772,-4.69885548276038
"200665_s_at",-0.27953012274085,10.2939341205689,-1.9526517945726,0.0576852009722039,0.289948831691739,-4.70002199112703
"201833_at",-0.154740914489635,9.63498285798586,-1.95230595133442,0.0577275913934305,0.290096447884379,-4.70064050971554
"212913_at",-0.15012139911642,4.45346203423388,-1.95198626512297,0.0577667995884389,0.290218790217184,-4.70121216758366
"218195_at",-0.218166781342127,10.4124531946146,-1.95184522604306,0.0577841047433629,0.290218790217184,-4.70146434685213
"204114_at",-0.296901442232643,6.8289437316033,-1.9517888757372,0.0577910200387587,0.290218790217184,-4.70156509754443
"220953_s_at",0.167945380062946,5.21135179622024,1.9516638566154,0.057806364900098,0.290230423907929,-4.7017886150408
"206060_s_at",0.220391361748227,5.07787256115374,1.95123092367598,0.0578595302702304,0.290431896311384,-4.70256254986225
"206451_at",-0.170996019009078,7.40553486937438,-1.95063079853401,0.0579332969803139,0.290736665201724,-4.70363513191672
"48531_at",0.209150009076653,8.35961588498766,1.9502653643676,0.0579782554179519,0.290883748529113,-4.70428812560236
"201247_at",-0.229710772230783,7.30403618755855,-1.95018033618509,0.0579887205286974,0.290883748529113,-4.70444004780777
"205647_at",-0.162072486509404,4.86132765039323,-1.94979982241616,0.0580355733947625,0.291053234694985,-4.70511985517801
"200027_at",-0.193071136177746,11.7388874604003,-1.94911835678121,0.0581195641255745,0.291350760093233,-4.70633705431855
"213348_at",-0.384823114841189,7.21800457655188,-1.94910625514991,0.0581210565989284,0.291350760093233,-4.70635866645464
"203799_at",-0.212809424369615,12.1311660975839,-1.94880605567752,0.0581580902510538,0.291409557114466,-4.7068947530178
"203738_at",-0.177874077452453,7.94662123586422,-1.94879910230265,0.0581589482843703,0.291409557114466,-4.70690716932169
"218208_at",-0.17562006761815,10.2717386751165,-1.94811860363108,0.058242973299198,0.2917167686773,-4.70812212546951
"213308_at",-0.268204057484232,7.74927133828754,-1.94809045745543,0.0582464509169381,0.2917167686773,-4.70817236983642
"213358_at",-0.302084341352838,5.58843362747965,-1.94765402830764,0.0583003970728211,0.291863547012257,-4.70895137240497
"212647_at",-0.260543251296761,7.04097514532021,-1.9475561721484,0.058312498785593,0.291863547012257,-4.70912602057029
"204548_at",0.150553517968978,4.99309578598288,1.94744885551338,0.0583257729471331,0.291863547012257,-4.7093175449134
"201280_s_at",-0.34879537517524,7.56595684866724,-1.94740553192067,0.0583311324469611,0.291863547012257,-4.70939486057953
"201111_at",-0.154582037783324,8.36695586837572,-1.94722854779798,0.0583530313055338,0.291863547012257,-4.70971069322602
"215696_s_at",-0.360650382074066,9.24570564428373,-1.9471311276859,0.0583650884542335,0.291863547012257,-4.70988453174696
"204496_at",0.216271926431306,9.72845761602801,1.94711189705405,0.0583674687767475,0.291863547012257,-4.70991884644514
"215082_at",0.272187968840726,6.76946272290091,1.94655951497775,0.0584358770303985,0.29214004322401,-4.71090438462886
"221508_at",-0.129416449605953,6.77555702809869,-1.94594878427528,0.0585115916604091,0.292343211286189,-4.71199375675425
"202291_s_at",-0.477856029125512,8.52058194394809,-1.94594007674098,0.0585126717773079,0.292343211286189,-4.71200928650549
"212783_at",-0.244156841662644,8.48166812176168,-1.94591417040344,0.0585158854031115,0.292343211286189,-4.71205548971318
"203431_s_at",-0.305749401984443,6.51142050360696,-1.94559123886462,0.0585559571255156,0.292477815445092,-4.7126313860967
"205436_s_at",0.369696326127597,7.80348289658212,1.94533642330884,0.058587593189304,0.292570233911259,-4.71308575275647
"218136_s_at",0.295891137117412,5.8655097142689,1.9451343166498,0.0586126957591572,0.292629991803394,-4.71344609810991
"203557_s_at",-0.230123260893842,10.0748414621572,-1.94487546110517,0.0586448603235581,0.292724972760005,-4.71390757842321
"203543_s_at",0.399715291505604,10.4482592171279,1.9447675190695,0.058658277345235,0.292726354036693,-4.71409999939838
"211948_x_at",0.184558972224384,8.47137187837884,1.94294798644551,0.0588848403281877,0.293791173122293,-4.71734222652098
"218511_s_at",-0.175047066694315,10.0012115530491,-1.94250926105391,0.0589395817141263,0.293998446449976,-4.71812361573736
"201414_s_at",-0.178629743935696,8.12406776396238,-1.94208309247547,0.0589927982676485,0.294151524415526,-4.71888250078846
"210962_s_at",-0.2543991790274,10.5179855498538,-1.94205203026856,0.0589966786860246,0.294151524415526,-4.71893780835377
"208670_s_at",-0.142574515590077,9.89712749194742,-1.94182163620041,0.0590254673157891,0.294229209083427,-4.71934801180652
"202757_at",-0.195870790728289,6.78076119302215,-1.94159470148539,0.0590538355028667,0.294283117237553,-4.71975201667163
"213684_s_at",0.370111269743592,6.76847773775903,1.94148047832542,0.0590681185143057,0.294283117237553,-4.71995534983869
"201424_s_at",-0.209994649099324,9.49777850811492,-1.94141815968673,0.0590759123888467,0.294283117237553,-4.72006628153561
"200084_at",-0.117575008170384,11.6315276860891,-1.94017331762226,0.0592317839225865,0.294993617358252,-4.72228157269817
"202679_at",0.357962291316783,7.79242236906985,1.94004928263964,0.0592473341934803,0.295005110377327,-4.72250223789317
"210737_at",0.11659262337829,6.78448533705127,1.93990392532064,0.0592655621161988,0.295017541813817,-4.72276082184508
"207819_s_at",-0.538407960823838,10.3003056476302,-1.93981817807919,0.0592763171503633,0.295017541813817,-4.72291335469573
"212863_x_at",-0.160144462957389,10.0931933169431,-1.93922062552913,0.0593513131090534,0.295324816200666,-4.72397616546499
"216894_x_at",-0.291086826722516,6.62702361273966,-1.93903455503012,0.0593746825851916,0.295375123704849,-4.72430705623545
"204566_at",0.171131034475622,7.37555541478711,1.9385998385888,0.0594293115341959,0.295554948591713,-4.72508001367229
"213261_at",-0.167330568001439,6.05995194772741,-1.93852228426758,0.059439061995937,0.295554948591713,-4.72521789579506
"216834_at",0.497296369385465,9.64147333016166,1.93843027324016,0.0594506318013855,0.295554948591713,-4.72538147424828
"202028_s_at",0.293717660493019,9.40228584223055,1.93823360984479,0.0594753674759498,0.295611950303823,-4.72573108352385
"201899_s_at",-0.123307818120654,9.51057729276265,-1.93798247070754,0.0595069677992891,0.29570303851545,-4.72617749178973
"202944_at",-0.256143303808866,7.66980028461492,-1.93725071438653,0.0595991255486727,0.29609494198211,-4.72747793985898
"207071_s_at",-0.184902238801474,10.9132010224927,-1.9368177802632,0.0596537072547874,0.296300030438104,-4.72824714136451
"215691_x_at",-0.176381105653737,10.8985777041173,-1.93661066830837,0.0596798338700809,0.296324763393492,-4.72861507033309
"209798_at",-0.178861434216356,7.39677843770671,-1.9365674232458,0.0596852903598598,0.296324763393492,-4.72869188993821
"211133_x_at",0.18482154838257,8.01215250278277,1.9363769839922,0.0597093243310971,0.296378034341321,-4.72903016523575
"200060_s_at",0.147073070366325,9.37958146550764,1.93574213555753,0.0597895041161447,0.296648244032013,-4.73015764075727
"202939_at",-0.145963708030433,11.1033254450371,-1.93573509069047,0.0597903943845105,0.296648244032013,-4.73017015055148
"210438_x_at",-0.12572181568741,9.21453801431754,-1.93494729327129,0.0598900212250206,0.297076375602267,-4.73156882926084
"201837_s_at",0.168617589687166,8.37625987866386,1.93447879019173,0.0599493369507986,0.297258558968261,-4.73240039949033
"219986_s_at",-0.17089384799211,6.82686334296737,-1.93437800438464,0.0599621037288632,0.297258558968261,-4.73257926757586
"203665_at",0.336615423477285,10.8773914573549,1.93434109062986,0.0599667802667938,0.297258558968261,-4.73264477776928
"210987_x_at",-0.281093278132778,9.61200323541376,-1.93366516607668,0.0600524673965224,0.297617089253021,-4.73384414587083
"207660_at",-0.206726877198331,4.37700313091165,-1.9334932206418,0.060074281748271,0.297658980094803,-4.73414919229516
"202549_at",-0.188184711178459,5.37268163798743,-1.93334222187249,0.0600934442579609,0.297687715751522,-4.73441705892043
"218203_at",-0.206377401042635,11.684021089021,-1.93199078522915,0.0602651824787529,0.298359485823257,-4.73681368814262
"AFFX-hum_alu_at",0.0705769684853852,15.3546618873414,1.93196811212405,0.0602680673314643,0.298359485823257,-4.73685388462279
"218104_at",0.222337627792279,7.22189049398339,1.93195895709235,0.0602692322217828,0.298359485823257,-4.73687011519787
"216205_s_at",-0.175533132939604,5.46552630383344,-1.93168380756052,0.0603042514017666,0.298466520434827,-4.73735788657652
"214730_s_at",-0.258558055614351,8.19252887785379,-1.93156824632033,0.0603189644717989,0.298473027884999,-4.73756273059115
"200862_at",-0.206517433573694,11.6337004972546,-1.93110866843355,0.0603775077163636,0.298634346890194,-4.73837727833047
"213651_at",0.122089663682257,7.00259049260542,1.93110184936937,0.0603783767290674,0.298634346890194,-4.73838936310828
"212152_x_at",-0.155878363819871,7.80467839366644,-1.9309286185528,0.0604004566447287,0.298677241437208,-4.7386963517021
"214462_at",0.283056373964233,4.86376359217614,1.930820256827,0.060414271904751,0.298679257705756,-4.73888837181248
"210530_s_at",-0.176067793954636,5.1875072891697,-1.93048720222911,0.0604567507212271,0.298822950037004,-4.73947849818862
"201256_at",-0.140637664257561,11.244472811991,-1.93020454019512,0.060492822443671,0.298934916942693,-4.73997926966119
"204101_at",-0.376684690927932,6.87102623591252,-1.93008291379129,0.0605083494034456,0.298945331483823,-4.74019472745568
"209157_at",0.217098989119146,10.1189964246717,1.92983374115676,0.0605401697478178,0.299036222055906,-4.74063609465382
"217766_s_at",-0.148115732866527,8.64271259607815,-1.92941424306037,0.0605937738131449,0.299234648467175,-4.74137905773878
"210555_s_at",-0.301414173604421,7.64958722570833,-1.92906246440274,0.0606387560196396,0.299390418406363,-4.74200198115507
"209783_at",0.187425597796127,5.43221401441958,1.9289458048387,0.0606536797000897,0.299397744887857,-4.74220853901994
"209371_s_at",-0.159385077512654,5.67094660435056,-1.92872648369979,0.0606817449091971,0.299469922760785,-4.74259684177488
"200759_x_at",-0.176422656791576,9.96926601835199,-1.92849667280532,0.0607111643968739,0.299548750668696,-4.74300367705013
"214455_at",0.447781672450372,8.04928512607454,1.92782859334008,0.0607967588928876,0.299884879819022,-4.74418615253317
"204441_s_at",-0.168279425785715,5.90691317404599,-1.92775485369489,0.0608062127819062,0.299884879819022,-4.74431664807507
"210415_s_at",0.221987111433137,5.28764596632799,1.92744332572352,0.060846166574965,0.299928787057914,-4.74486790699822
"219401_at",-0.163094595436644,6.93329802489107,-1.92733962861287,0.0608594708402455,0.299928787057914,-4.74505138600765
"206807_s_at",0.211579443866934,7.53360137521773,1.92729319874651,0.0608654285686757,0.299928787057914,-4.74513353516543
